LocationID,taxiName,mapName,Borough,xID
18,Bedford Park,Fordham,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Fordham
19,Bellerose,Little Neck,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Little_Neck
20,Belmont,Fordham,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Fordham
21,Bensonhurst East,Bensonhurst,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst
22,Bensonhurst West,Bensonhurst,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst
23,Bloomfield/Emerson Hill,Bloomfield,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Bloomfield
24,Bloomingdale,Upper West Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_West_Side
25,Boerum Hill,Downtown Brooklyn,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Downtown_Brooklyn
26,Borough Park,Fort Hamilton,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Fort_Hamilton
27,Breezy Point/Fort Tilden/Riis Beach,Breezy Point,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Breezy_Point
28,Briarwood/Jamaica Hills,Briarwood,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Briarwood
29,Brighton Beach,Sea Gate,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Sea_Gate
30,Broad Channel,John F. Kennedy International Airport,Queens,http://nyc.pediacities.com/Resource/Neighborhood/John_F_Kennedy_International_Airport
31,Bronx Park,Allerton,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Allerton
32,Bronxdale,Van Nest,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Van Nest
33,Brooklyn Heights,DUMBO,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/DUMBO
34,Brooklyn Navy Yard,Navy Yard,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Navy_Yard
35,Brownsville,East Flatbush,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/East_Flatbush
36,Bushwick North,Bushwick,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bushwick
37,Bushwick South,Bushwick,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bushwick
38,Cambria Heights,Cunningham Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Cunningham_Park
39,Canarsie,Bergen Beach,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bergen_Beach
